Zeitstempel;Solarproduktion-Tracker 1;Solarproduktion-Tracker 2;Solarproduktion-Tracker 3;Batterie Laden;Batterie Entladen;Solarproduktion;Netzeinspeisung;Netzbezug;Hausverbrauch;Summe Wallbox Laden;Wallbox Solarladeleistung;Summe Wallbox Laden ID: 0;Wallbox Solarladeleistung ID: 0;Wallbox Netzbezug ID: 0;Summe Verbrauch;Abregelungsgrenze
01.01.2022;370208;24819;0;170014;154780;395027;71600;350943;617622;0;0;0;0;0;617622;623802
01.02.2022;719957;51104;0;259068;237671;771061;301093;155785;542493;0;0;0;0;0;542493;548673
01.03.2022;1428024;105061;0;333492;314267;1533085;900020;69164;590954;0;0;0;0;0;590954;597134
01.04.2022;1205197;94534;0;269087;246782;1299731;761719;53723;485118;0;0;0;0;0;485118;491298
01.05.2022;1490525;98322;0;283775;258976;1588847;992722;7307;480874;0;0;0;0;0;480874;487054
01.06.2022;1524857;88597;0;224259;209912;1613454;1066331;3172;444502;0;0;0;0;0;444502;450682
01.07.2022;1560627;91714;0;237084;217347;1652341;1090122;4053;451392;0;0;0;0;0;451392;457572
01.08.2022;1437950;98719;0;279224;262904;1536669;967328;13458;471440;0;0;0;0;0;471440;477620
01.09.2022;981897;70633;0;272356;253276;1052530;569509;10481;386316;0;0;0;0;0;386316;392496
01.10.2022;791676;52608;0;290011;274040;844284;331190;51573;469775;0;0;0;0;0;469775;475955
01.11.2022;465305;29876;0;216721;203991;495181;121716;171741;475736;0;0;0;0;0;475736;481916
01.12.2022;232085;18314;0;110061;97519;250399;22063;438533;623527;78330;41390;0;0;36940;623527;629707
