"Zeitstempel";"Solarproduktion-Tracker 1";"Solarproduktion-Tracker 2";"Solarproduktion-Tracker 3";"Batterie Laden";"Batterie Entladen";"Solarproduktion";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Summe Wallbox Laden";"Wallbox Solarladeleistung";"Summe Wallbox Laden ID: 0";"Wallbox Solarladeleistung ID: 0";"Wallbox Netzbezug ID: 0";"Summe Verbrauch";"Abregelungsgrenze"
01.01.2025;437984;26933;0;213513;194356;464917;52969;387143;537005;192935;62668;192935;62668;;729940;543185
01.02.2025;557564;40997;0;210129;199477;598561;89530;286926;497075;235860;135318;235860;135318;;732935;503255
01.03.2025;1108296;85381;0;293038;274708;1193677;425895;122402;533322;255644;199198;255644;199198;;788966;539502
01.04.2025;1413392;110810;0;313330;287559;1524202;654242;16777;484753;283158;280024;283158;280024;;767911;490933
01.05.2025;1447476;93436;0;307646;288830;1540912;745044;16067;425483;271172;260617;271172;260617;;696655;431663
01.06.2025;1560316;93542;0;377839;364550;1653858;808753;14314;442199;296948;295131;296948;295131;;739147;448379
01.07.2025;1256568;75018;0;398136;378120;1331586;495969;6453;439282;274623;273126;274623;273126;;713905;445462
01.08.2025;1383484;92562;0;391154;379806;1476046;643393;5454;506484;210599;209475;210599;209475;;717083;512664
01.09.2025;846508;64231;0;319863;321686;910739;282926;76409;430963;184161;159622;184161;159622;;615124;437143
01.10.2025;672836;49604;0;356002;345331;722440;92380;233681;510660;260424;169268;260424;169268;;771084;516840
01.11.2025;501544;33150;0;267781;258468;534694;16125;445072;630920;265678;150160;265678;150160;;896598;637100
01.12.2025;391264;21401;0;178978;169187;412665;1995;1798498;1860231;300259;15663;300259;15663;;2160490;1866411
